participant_id,parameter,posterior_mean,hdi_low,hdi_high
P047,omega_2,-3.2827503597814456,-3.7489000914693005,-2.7411934112137923
P048,omega_2,-3.3847488816366456,-3.9334971175336753,-2.8186023802491014
P049,omega_2,-3.355649842960476,-4.034841653804048,-2.7909609335696346
P050,omega_2,-3.487866474741323,-3.9804042050333583,-3.0507462431006496
P051,omega_2,-3.5213544879763727,-3.977307768113718,-2.9944014082234762
P052,omega_2,-3.649005524258421,-4.275146961768482,-3.0335118833624666
P053,omega_2,-3.739619107385589,-4.289795290302372,-3.1041053663052756
P054,omega_2,-3.3435805834824657,-4.068562339232331,-2.6281710978101436
P055,omega_2,-3.4443928129958263,-4.043439101619568,-2.8796710789703734
P056,omega_2,-3.068632965906917,-3.73180774586036,-2.4357968613088055
P057,omega_2,-3.592960636269527,-4.259420017815772,-3.029512064523552
P058,omega_2,-3.4585854475525992,-4.046894889462022,-2.910934433495939
P059,omega_2,-3.045250674774118,-3.6783210061830482,-2.298046498436391
P060,omega_2,-3.7811982825648505,-4.316459135200909,-3.262564019002013
P061,omega_2,-3.289315650415623,-3.9167141104341563,-2.730064533725824
P062,omega_2,-3.793239670287729,-4.346878704578952,-3.2685969492690066
P063,omega_2,-3.427052566810343,-4.010706620445363,-2.8380056632259123
P064,omega_2,-3.35092141971238,-3.8334917812492413,-2.8250071942016746
P065,omega_2,-3.422656540322566,-3.943891669092082,-2.925079341648589
P066,omega_2,-3.8719043247749627,-4.493284437776116,-3.3625196243758664
P067,omega_2,-3.3035291717446382,-3.8226049632064956,-2.733621512560817
P068,omega_2,-3.1279188669282245,-3.7813463799302065,-2.433649776922418
P069,omega_2,-3.6797084026525715,-4.19052984268063,-3.2472501421389044
P070,omega_2,-3.6609659391307,-4.231993054108402,-3.1192402594574347
P071,omega_2,-3.6322017914756075,-4.143640563040074,-3.07670403778675
P072,omega_2,-3.4719547291588784,-3.929235531912683,-3.0198602907013
P073,omega_2,-3.705358033106287,-4.310466621379533,-2.976643115053502
P074,omega_2,-3.0819389616165624,-3.8082845139363464,-2.3894709366489137
P075,omega_2,-3.939951073002648,-4.617081751591701,-3.413680855699747
P076,omega_2,-3.267748410289834,-3.781584917000445,-2.684308119597107
P077,omega_2,-2.045508719664922,-2.4085991061933587,-1.6791488476427907
P078,omega_2,-3.6203247207949785,-4.3357122511832085,-2.977659460588506
P079,omega_2,-3.818274151455527,-4.49894463087855,-3.0726523774579544
P080,omega_2,1.8645399765966877,-391.3185716580289,409.8395894292692
P081,omega_2,-4.030046688646023,-4.410786336895348,-3.711561836198753
P082,omega_2,-3.116522536983268,-3.4924866771480683,-2.6908228237986545
