participant_id,parameter,posterior_mean,hdi_low,hdi_high
P060,omega_2,-2.9064801783585152,-3.3855105356530317,-2.421721851298064
P061,omega_2,-2.810683843810488,-3.3622366646132833,-2.2898858425529798
P062,omega_2,-3.4152695522105927,-4.034139563362233,-2.8444313112941164
P063,omega_2,-2.691453573290466,-3.221855545593611,-2.1873005369349374
P064,omega_2,-2.8819272754893763,-3.3946856075348935,-2.3323655424285974
P065,omega_2,-2.654435806466719,-3.2057341446451164,-2.0530926804645464
P066,omega_2,-3.3318306292939464,-3.9701643988684845,-2.6933427066333566
P067,omega_2,-2.361731439551995,-2.8319251437488084,-1.8599511882272863
P068,omega_2,-1.9774876363880316,-2.829030645198026,-1.081916380021327
P069,omega_2,-3.6674386733423723,-4.1889931972989345,-3.1122360329089505
P070,omega_2,-3.319884120671665,-3.91237942831732,-2.8138907793648067
P071,omega_2,-4.059255813868686,-4.521683120947735,-3.5443127657631783
P072,omega_2,-3.3806315169229393,-3.86628801750365,-2.920026677626428
P073,omega_2,-3.2917604411731167,-3.730836627202704,-2.7658329393431957
P074,omega_2,-2.5745581315959205,-3.1512875881911375,-1.9629934484516465
P075,omega_2,-3.572896828024007,-4.228728600819283,-2.9736239621436633
P076,omega_2,-2.596231514972527,-3.119952223585431,-2.1200437711223072
P077,omega_2,-2.1031475133681266,-2.6234268042037607,-1.5569096404381044
P078,omega_2,-3.0703389843402102,-3.6158870558721037,-2.6101400662717604
P079,omega_2,-3.638880271900122,-4.172082997246901,-3.087888129131562
P080,omega_2,-1.8172667555144217,-2.2134024764894664,-1.4030454736464821
P081,omega_2,-1.7454928353401105,-2.208607273940504,-1.2979553936364052
P082,omega_2,-3.164299239029121,-3.5445774132043604,-2.7839218695101753
P083,omega_2,-2.854962196964817,-3.2403072291572954,-2.4726587409205343
P084,omega_2,-1.3062415599869137,-1.8384558702938598,-0.8172277582715017
P085,omega_2,-2.019087490484122,-2.490907067310363,-1.603745764926113
P086,omega_2,-1.3657251925305685,-1.8072538980103214,-0.8355399217358326
P087,omega_2,-2.3618390631709505,-2.831525412125175,-1.8084521626703758
P088,omega_2,-1.8866210008652893,-2.430735977136721,-1.389967070176692
P089,omega_2,-1.8857176794234043,-2.2070821433726255,-1.591044291217441
P090,omega_2,-2.2140311199508402,-2.574928366912376,-1.8295944995649247
P091,omega_2,-1.4242634249310773,-1.8118314762993049,-1.0302265214435449
P092,omega_2,-2.8496508261194204,-3.2911482558167124,-2.3931877823738272
P093,omega_2,-2.1636848052125672,-2.5920706977688646,-1.7617155217637182
P094,omega_2,-2.6041753010554824,-3.0244777728073498,-2.154806914799911
P095,omega_2,-1.824281980950736,-2.2529070064107835,-1.4094786418639051
P096,omega_2,-1.592143852236724,-2.0668165135233028,-1.09673156079514
P097,omega_2,-1.1040556202906444,-1.5382320820464968,-0.6060258749309362
P098,omega_2,-2.194689030820496,-2.699478688375525,-1.6347291255400545
P099,omega_2,-2.885951628627906,-3.3644431640419272,-2.381172008031042
P100,omega_2,-2.4317106190157056,-2.872080203907492,-1.9663311266548802
P101,omega_2,-1.692641664727015,-2.2426785682404815,-1.16292105973099
P102,omega_2,-2.72017891419519,-3.0664998017240026,-2.356010850193981
P103,omega_2,-1.2739203458214303,-1.6541950636986629,-0.8186587290021792
P104,omega_2,-2.630346255752686,-3.011991684103636,-2.210960159088218
P105,omega_2,-2.062487703563829,-2.53680848787494,-1.5534135509720923
P106,omega_2,-2.1020971908498747,-2.534411652733248,-1.6051488304485249
P107,omega_2,-2.367326062566531,-2.813519274424323,-1.965250052584727
P108,omega_2,-1.9938962867991834,-2.42224415623539,-1.4980958006892868
P109,omega_2,-1.7631398079155243,-2.1412821271349,-1.3575052378922536
P110,omega_2,-1.7395568478316346,-2.1656813611214014,-1.2846826741523225
P111,omega_2,-2.4157630088160182,-2.845772287618748,-1.943562950661748
P112,omega_2,-2.6781448831389065,-3.1305152703525363,-2.2450028055518927
P113,omega_2,-0.9703688043337471,-1.535164949575981,-0.5060238381996649
P114,omega_2,-1.9420767199503746,-2.3442923661377097,-1.4980340254168982
P115,omega_2,-2.3124230011492477,-2.6891710354553306,-1.9390850460540352
P116,omega_2,-1.9227538560873452,-2.370248789014168,-1.522009527506098
P117,omega_2,-1.7069300538898131,-2.098137599605252,-1.3343910007385515
P118,omega_2,-2.3225439797427936,-2.6907879490976283,-1.906300484218972
P119,omega_2,-1.7361074623071462,-2.1726157679581637,-1.326770629672502
P120,omega_2,-3.040678595386842,-3.5413793585136513,-2.542899065911665
P121,omega_2,-1.569484697672108,-2.447354488062862,-0.8228684043020655
P122,omega_2,-2.106344980794349,-2.6152987774274377,-1.5090322494667385
P123,omega_2,-1.3975336065886863,-2.199426622276765,-0.7335541031253946
P124,omega_2,-2.0738075326756578,-2.7507458293651315,-1.534395185895551
P125,omega_2,-2.017213322108248,-2.716050659422159,-1.3886761341355873
P126,omega_2,-2.4903896052151024,-2.942596780002993,-2.009862139466633
P127,omega_2,-1.8129988018297198,-2.566462055491962,-1.0664739506809096
P128,omega_2,-2.365147262228368,-2.931125514935415,-1.8129916158278323
P129,omega_2,-2.517466384940888,-3.275441367425465,-1.9673719755014316
P130,omega_2,-2.2311586835605137,-2.764090823089678,-1.663573197636381
P131,omega_2,-1.1636731814491252,-1.692655172394012,-0.51942070718494
P132,omega_2,-2.587636488725675,-3.193694141411755,-1.9417644994162298
P133,omega_2,-1.6284381335223557,-2.050960220239742,-1.181775201287858
P134,omega_2,-2.4034449407222307,-2.9768161594722984,-1.8423342700292613
P135,omega_2,-2.0125849134740226,-2.575845836924765,-1.5192017181264623
P136,omega_2,-2.4807181262975946,-3.1484841836323083,-1.8691774567916626
P137,omega_2,-2.4581789644123484,-2.952560617622973,-1.9982306055653292
P138,omega_2,-2.151656074580452,-2.611892726892881,-1.6869599172209688
P139,omega_2,-2.2666671532080542,-2.741446945446976,-1.7809057912769042
P140,omega_2,-1.8994665105458008,-2.4095133470176395,-1.4104694426489364
P141,omega_2,-3.2944425063831013,-3.8993796777830108,-2.689228963166488
P142,omega_2,-2.5324673061199743,-3.157551323550942,-1.9694107949419464
P143,omega_2,-1.0859185061530918,-1.8435385016169363,-0.08465926840797433
P144,omega_2,-2.01844596320859,-2.5601213891471795,-1.432638640424972
P145,omega_2,-2.7391442292856443,-3.256946267859605,-2.2390053185300394
P146,omega_2,-2.6096245556479363,-3.1600660523520743,-2.1520725224442945
P147,omega_2,-2.2364540769257903,-2.767028573994232,-1.734749844207922
P148,omega_2,-2.348212980218398,-2.985566528855046,-1.6551039416923983
P149,omega_2,-1.8483496117249638,-2.512647348259456,-1.228219603171315
P150,omega_2,-2.4038746737864862,-3.049178802281877,-1.7604784529671011
P151,omega_2,-1.4416610546908244,-2.374247257984808,-0.3469312138415921
P152,omega_2,-2.028658902049426,-2.621023608479791,-1.5051931810346133
P153,omega_2,-1.2658650897553863,-1.8412508149499274,-0.6705656359999507
P154,omega_2,-2.128536971836118,-2.7528957531856846,-1.5025972084565198
P155,omega_2,-2.1235662028762365,-2.6689950123687525,-1.4588523653938572
P156,omega_2,-1.7757535432926876,-2.352208767907071,-1.079384258121753
P157,omega_2,-2.267632642543661,-2.892419137462327,-1.6036470591096532
P158,omega_2,-2.556161992975925,-3.2129103117350946,-1.9267694911770858
P159,omega_2,-1.2378388840599401,-1.9238839560542842,-0.5273580424575061
P000,beta,3.3613624976147705,2.287544763064468,4.454480601059534
P001,beta,4.433308980877905,2.9863016141696113,5.699002949147867
P002,beta,3.107830148565676,2.2383610622149663,4.040980390678686
P003,beta,2.5924901837049856,1.8619300919202788,3.388131236456656
P004,beta,0.6378423509286476,0.3894587501894911,0.9312659673266167
P005,beta,1.8885178507530027,1.344254446633129,2.4947897005977846
P006,beta,2.40534541365872,1.7741668528246062,3.094971179688549
P007,beta,2.4306804490793454,1.7894955555713188,3.1368328487604558
P008,beta,1.5529049751932547,1.10677025712934,2.003026491598146
P009,beta,2.218245903140353,1.556382286437395,2.8644629558277828
P010,beta,1.7273299381923797,1.2661159642641266,2.2418545931694673
P011,beta,1.5021153697349967,1.1069457115403412,1.9309439558420765
P012,beta,2.1326525284436157,1.4961674151023587,2.728976347661289
P013,beta,2.818036490135248,2.0602244421207834,3.611178282232997
