regime,param_vector_id,omega_2,omega_3,kappa,beta,zeta,lambda_hat_qr,lambda_hat_gmsr,max_singular_value,num_trials_sigma_gt_1
round_robin,0,-4.134129159289461,-3.075193394602443,1.0,0.8275056996784209,0.31636407076699924,-0.013102074377632786,-0.001430773140010608,1.0603009288056786,302
round_robin,1,-5.071454471282259,-2.130044098353858,1.0,2.155890406252504,0.36723336017940045,-0.011274075001881385,-0.0008115046473351243,1.113372441323939,302
round_robin,2,-4.462026467987239,-7.563197369527308,1.0,3.4577504820846183,-0.8573104782662448,-0.011942477982261425,0.00047507527327255556,1.0438004260278901,344
round_robin,3,-2.3218270816503175,-3.5280451488137325,1.0,1.9403462956000415,-0.1153975677153185,-0.013750244595390681,-0.0010408542951384958,1.6911801819912253,333
round_robin,4,-5.466378823776983,-7.667494641622135,1.0,3.364391670701065,-0.9045953967966018,-0.013541679641027047,0.0002217352010068628,1.0555367092283559,335
round_robin,5,-5.90296614137309,-2.9480941067283988,1.0,1.0913667189847542,-0.9652618690155708,-0.015578391369082487,-0.0002870401220663244,1.0582125599265486,305
round_robin,6,-4.2344310817337565,-5.915790902729989,1.0,3.9800794714606003,0.27327748517147765,-0.0143724112140688,-0.0003026419232011708,1.039782900209616,297
round_robin,7,-4.162700618136258,-7.926516240975703,1.0,2.3813229130739986,0.2692473809193996,-0.012903660392845998,-1.3008268217101788e-05,1.038430214156362,307
round_robin,8,-4.2704552832030345,-6.760107338246,1.0,3.4109670326858805,-0.5013955978946203,-0.015012215387519588,-0.0002722747786435346,1.0404492160825567,297
round_robin,9,-3.9013284348491024,-7.561982049193144,1.0,2.9444837292196056,0.5040707258812684,-0.012477718908413593,-0.0001363317148309711,1.0333281405814927,287
round_robin,10,-5.377866022281259,-4.427315401271388,1.0,0.5090691949693387,0.39805864920836687,-0.01263854338010706,0.0005545175109279006,1.0548508638458547,369
round_robin,11,-3.8105693071444926,-7.37600871323373,1.0,3.582793946068584,-0.3445075254904848,-0.012973503318999673,-3.679879238158457e-05,1.0449756570143711,304
round_robin,12,-2.561611154827091,-3.4720362760862677,1.0,1.1542729751733911,0.15430779411925433,-0.014004894704903863,-0.0005998674846106473,1.4069511299598678,343
round_robin,13,-4.3833091822669825,-3.361105022844475,1.0,2.5000804157924352,0.9248391509713607,-0.01109620322617589,-0.0010218796192530454,1.0424589772692443,307
round_robin,14,-4.042670701419645,-2.1430395889038785,1.0,1.0488806446245718,0.5454900281274839,-0.011615180427845448,-0.0021171688777863458,1.1227195235133165,300
round_robin,15,-2.1544070550767906,-2.6736029089175375,1.0,1.384850801137437,0.5677423362333835,-0.0103787259928737,-0.0002836109652828805,2.0620836085063536,358
round_robin,16,-2.9256494296614224,-2.2949077659854584,1.0,2.2032700373081227,-0.3327851203219412,-0.010470513231917103,-0.0026202565871865733,1.2328820291410092,330
round_robin,17,-3.7263038097268906,-2.3357203180004777,1.0,3.394260558381219,0.7415489603851653,-0.010808660013599038,-0.0015297185325039199,1.118239090534005,331
round_robin,18,-4.266123254420695,-2.518815899313667,1.0,1.5690765635169917,-0.6404798522526638,-0.012541579598967326,-0.0017011094260353083,1.0986187210694611,300
round_robin,19,-5.647627271796555,-2.2070841821024008,1.0,0.6346230072681917,0.5546557781654793,-0.010776342794665552,-0.0009634963019587384,1.1051826554651178,294
round_robin,20,-5.1354464412324115,-3.104460839404032,1.0,3.5106091458285444,0.7985325465015976,-0.011712115431508918,-6.0874547914153e-05,1.0526716921377126,326
round_robin,21,-4.505160764023682,-7.650428428796076,1.0,1.0734052424057536,-0.2656493161455564,-0.013986168989642965,0.0001144930315146585,1.0445062871761506,336
round_robin,22,-4.649268053421451,-4.880936363209309,1.0,3.0856574292914667,0.47387328216788305,-0.014819618294557703,-0.0004203191437926817,1.0467252890151175,304
round_robin,23,-2.7481823357954185,-2.3807556540240657,1.0,1.1596949087212312,0.04016087610411412,-0.011193541805809337,-0.0041363705607001516,1.085403928383295,295
round_robin,24,-2.4440970510342512,-2.7130661814288723,1.0,2.331145788484045,0.9703080940892794,-0.015228735703772612,-0.002987731531114172,1.4788526021437096,301
round_robin,25,-3.3767096002984576,-5.660845286188968,1.0,2.069563957679298,0.28455394644522025,-0.013632300019388468,-0.00043412395060420263,1.1786089137170503,313
round_robin,26,-5.613148996537137,-2.094056207410648,1.0,0.5942767105279325,0.7189441874846767,-0.009771172200242186,-0.0008565531910186267,1.0895326659498366,300
round_robin,27,-4.135598218464601,-6.972059021729724,1.0,2.440225975804424,0.5916548252900826,-0.015432708764758352,-0.00019409974617117006,1.0379102628659367,307
round_robin,28,-3.324782335633929,-5.9139217559823045,1.0,1.7161006019947322,-0.6421581796530251,-0.013175878496847144,-0.0005549030071732612,1.0608102411346716,297
round_robin,29,-3.452776759631433,-3.9347182764082076,1.0,2.7820056335537577,-0.3197332606308996,-0.018569634448159327,-0.0012896840328650418,1.0649554452569656,306
round_robin,30,-3.9388293222652555,-6.782169868048206,1.0,3.33916168297582,0.985591479625747,-0.014183510596936597,-9.723708471872405e-05,1.0496061142298625,323
round_robin,31,-3.1511127743031926,-7.112926678370213,1.0,1.5723702918114326,-0.026448682846495153,-0.01738878584269784,-5.541186881384868e-05,1.0595279265393003,314
round_robin,32,-4.2000531331201,-3.0878360192277334,1.0,1.7669916674638952,0.5777096351661708,-0.015133412054125212,-0.0017049403107644715,1.0452505394960707,299
round_robin,33,-4.761907289009088,-3.7513041754673004,1.0,1.10005631594482,0.8165535456591151,-0.013695401886671451,-0.0005971865948932887,1.0483095881956614,311
